zonder	met-e	ook_N
0-jarig	0-jarige	
1-jarig	1-jarige	
2-jarig	2-jarige	
3-jarig	3-jarige	
4-jarig	4-jarige	
5-jarig	5-jarige	
6-jarig	6-jarige	
7-jarig	7-jarige	
8-jarig	8-jarige	
9-jarig	9-jarige	
10-jarig	10-jarige	
11-jarig	11-jarige	
12-jarig	12-jarige	
13-jarig	13-jarige	
14-jarig	14-jarige	
15-jarig	15-jarige	
16-jarig	16-jarige	
17-jarig	17-jarige	
18-jarig	18-jarige	
19-jarig	19-jarige	
20-jarig	20-jarige	
21-jarig	21-jarige	
22-jarig	22-jarige	
23-jarig	23-jarige	
24-jarig	24-jarige	
25-jarig	25-jarige	
26-jarig	26-jarige	
27-jarig	27-jarige	
28-jarig	28-jarige	
29-jarig	29-jarige	
30-jarig	30-jarige	
31-jarig	31-jarige	
32-jarig	32-jarige	
33-jarig	33-jarige	
34-jarig	34-jarige	
35-jarig	35-jarige	
36-jarig	36-jarige	
37-jarig	37-jarige	
38-jarig	38-jarige	
39-jarig	39-jarige	
40-jarig	40-jarige	
41-jarig	41-jarige	
42-jarig	42-jarige	
43-jarig	43-jarige	
44-jarig	44-jarige	
45-jarig	45-jarige	
46-jarig	46-jarige	
47-jarig	47-jarige	
48-jarig	48-jarige	
49-jarig	49-jarige	
50-jarig	50-jarige	
51-jarig	51-jarige	
52-jarig	52-jarige	
53-jarig	53-jarige	
54-jarig	54-jarige	
55-jarig	55-jarige	
56-jarig	56-jarige	
57-jarig	57-jarige	
58-jarig	58-jarige	
59-jarig	59-jarige	
60-jarig	60-jarige	
61-jarig	61-jarige	
62-jarig	62-jarige	
63-jarig	63-jarige	
64-jarig	64-jarige	
65-jarig	65-jarige	
66-jarig	66-jarige	
67-jarig	67-jarige	
68-jarig	68-jarige	
69-jarig	69-jarige	
70-jarig	70-jarige	
71-jarig	71-jarige	
72-jarig	72-jarige	
73-jarig	73-jarige	
74-jarig	74-jarige	
75-jarig	75-jarige	
76-jarig	76-jarige	
77-jarig	77-jarige	
78-jarig	78-jarige	
79-jarig	79-jarige	
80-jarig	80-jarige	
81-jarig	81-jarige	
82-jarig	82-jarige	
83-jarig	83-jarige	
84-jarig	84-jarige	
85-jarig	85-jarige	
86-jarig	86-jarige	
87-jarig	87-jarige	
88-jarig	88-jarige	
89-jarig	89-jarige	
90-jarig	90-jarige	
91-jarig	91-jarige	
92-jarig	92-jarige	
93-jarig	93-jarige	
94-jarig	94-jarige	
95-jarig	95-jarige	
96-jarig	96-jarige	
97-jarig	97-jarige	
98-jarig	98-jarige	
99-jarig	99-jarige	
100-jarig	100-jarige	
101-jarig	101-jarige	
102-jarig	102-jarige	
103-jarig	103-jarige	
104-jarig	104-jarige	
105-jarig	105-jarige	
106-jarig	106-jarige	
107-jarig	107-jarige	
108-jarig	108-jarige	
