woord	lemma	group		1		
advertentiebeurzen	advertentiebeurs	beurs	verbeterd naar -zen	6161		
antiekbeurzen	antiekbeurs	beurs	verbeterd naar -zen	6162		
basisbeurzen	basisbeurs	beurs	verbeterd naar -zen	6163		
Bitcoinbeurzen	Bitcoinbeurs	beurs	verbeterd naar -zen	6165		
boekenbeurzen	boekenbeurs	beurs	verbeterd naar -zen	6166		
bouwbeurzen	bouwbeurs	beurs	verbeterd naar -zen	6167		
carrièrebeurzen	carrièrebeurs	beurs	verbeterd naar -zen	6168		
cryptobeurzen	cryptobeurs	beurs	verbeterd naar -zen	6169		
E3-beurzen	E3-beurs	beurs	verbeterd naar -zen	6170		
effectenbeurzen	effectenbeurs	beurs	verbeterd naar -zen	6171		
elektriciteitsbeurzen	elektriciteitsbeurs	beurs	verbeterd naar -zen	6172		
elektronicabeurzen	elektronicabeurs	beurs	verbeterd naar -zen	6173		
entertainmentbeurzen	entertainmentbeurs	beurs	verbeterd naar -zen	6174		
Erasmusbeurzen	Erasmusbeurs	beurs	verbeterd naar -zen	6175		
fanbeurzen	fanbeurs	beurs	verbeterd naar -zen	6176		
filmbeurzen	filmbeurs	beurs	verbeterd naar -zen	6177		
gamebeurzen	gamebeurs	beurs	verbeterd naar -zen	6178		
handelsbeurzen	handelsbeurs	beurs	verbeterd naar -zen	6179		
huishoudbeurzen	huishoudbeurs	beurs	verbeterd naar -zen	6180		
innovatiebeurzen	innovatiebeurs	beurs	verbeterd naar -zen	6181		
jaarbeurzen	jaarbeurs	beurs	verbeterd naar -zen	6182		
Korenbeurzen	Korenbeurs	beurs	verbeterd naar -zen	6183		
kunstbeurzen	kunstbeurs	beurs	verbeterd naar -zen	6184		
lerarenbeurzen	lerarenbeurs	beurs	verbeterd naar -zen	6185		
luchtvaartbeurzen	luchtvaartbeurs	beurs	verbeterd naar -zen	6186		
mkb-beurzen	mkb-beurs	beurs	verbeterd naar -zen	6187		
netwerkbeurzen	netwerkbeurs	beurs	verbeterd naar -zen	6188		
onderwijsbeurzen	onderwijsbeurs	beurs	verbeterd naar -zen	6189		
onderzoeksbeurzen	onderzoeksbeurs	beurs	verbeterd naar -zen	6190		
optiebeurzen	optiebeurs	beurs	verbeterd naar -zen	6191		
postzegelbeurzen	postzegelbeurs	beurs	verbeterd naar -zen	6192		
prestatiebeurzen	prestatiebeurs	beurs	verbeterd naar -zen	6193		
radiobeurzen	radiobeurs	beurs	verbeterd naar -zen	6194		
ruilbeurzen	ruilbeurs	beurs	verbeterd naar -zen	6195		
schermenbeurzen	schermenbeurs	beurs	verbeterd naar -zen	6196		
slijmbeurzen	slijmbeurs	beurs	verbeterd naar -zen	6197		
startersbeurzen	startersbeurs	beurs	verbeterd naar -zen	6198		
straatbeurzen	straatbeurs	beurs	verbeterd naar -zen	6199		
studiebeurzen	studiebeurs	beurs	verbeterd naar -zen	6200		
techbeurzen	techbeurs	beurs	verbeterd naar -zen	6201		
technologiebeurzen	technologiebeurs	beurs	verbeterd naar -zen	6202		
tempobeurzen	tempobeurs	beurs	verbeterd naar -zen	6203		
uitwonendenbeurzen	uitwonendenbeurs	beurs	verbeterd naar -zen	6204		
vakantiebeurzen	vakantiebeurs	beurs	verbeterd naar -zen	6205		
vakbeurzen	vakbeurs	beurs	verbeterd naar -zen	6206		
valutabeurzen	valutabeurs	beurs	verbeterd naar -zen	6207		
vastgoedbeurzen	vastgoedbeurs	beurs	verbeterd naar -zen	6208		
Veni-beurzen	Veni-beurs	beurs	verbeterd naar -zen	6209		
Vici-beurzen	Vici-beurs	beurs	verbeterd naar -zen	6210		
Vidi-beurzen	Vidi-beurs	beurs	verbeterd naar -zen	6211		
vliegtuigbeurzen	vliegtuigbeurs	beurs	verbeterd naar -zen	6212		
voedselbeurzen	voedselbeurs	beurs	verbeterd naar -zen	6213		
wapenbeurzen	wapenbeurs	beurs	verbeterd naar -zen	6214		
wetenschapsbeurzen	wetenschapsbeurs	beurs	verbeterd naar -zen	6215		
alligators	alligator	alligator	verbeterd naar -s	1887		
yangtze-alligators	yangtze-alligator	alligator	verbeterd naar -s	1888		
boosts	boost	boost	verbeterd naar -s	7928		
bemiddelaars	bemiddelaar	bemiddelaar	verbeterd naar -aars	5270		
EG-bemiddelaars	EG-bemiddelaar	bemiddelaar	verbeterd naar -aars	5271		
huurbemiddelaars	huurbemiddelaar	bemiddelaar	verbeterd naar -aars	5272		
overnamebemiddelaars	overnamebemiddelaar	bemiddelaar	verbeterd naar -aars	5273		
Syrië-bemiddelaars	Syrië-bemiddelaar	bemiddelaar	verbeterd naar -aars	5274		
zorgbemiddelaars	zorgbemiddelaar	bemiddelaar	verbeterd naar -aars	5275		
aversies	aversie	aversie	verbeterd	2918		
driekamerflats	driekamerflat	flat	verbeterd	17805		
galerijflats	galerijflat	flat	verbeterd	17807		
huurflats	huurflat	flat	verbeterd	17808		
kantoorflats	kantoorflat	flat	verbeterd	17809		
portiekflats	portiekflat	flat	verbeterd	17810		
renovatieflats	renovatieflat	flat	verbeterd	17811		
Scheldeflats	Scheldeflat	flat	verbeterd	17812		
seniorenflats	seniorenflat	flat	verbeterd	17813		
serviceflats	serviceflat	flat	verbeterd	17814		
studentenflats	studentenflat	flat	verbeterd	17815		
torenflats	torenflat	flat	verbeterd	17816		
woonflats	woonflat	flat	verbeterd	17817		
zeskamerflats	zeskamerflat	flat	verbeterd	17818		
zorgflats	zorgflat	flat	verbeterd	17819		
aardgasbehoeften	aardgasbehoefte	behoefte		4714		
basisbehoeften	basisbehoefte	behoefte		4715		
behoeften	behoefte	behoefte		4716		
conflictbehoeften	conflictbehoefte	behoefte		4717		
elektriciteitsbehoeften	elektriciteitsbehoefte	behoefte		4718		
energiebehoeften	energiebehoefte	behoefte		4719		
financieringsbehoeften	financieringsbehoefte	behoefte		4720		
hulpbehoeften	hulpbehoefte	behoefte		4721		
levensbehoeften	levensbehoefte	behoefte		4722		
mobiliteitsbehoeften	mobiliteitsbehoefte	behoefte		4723		
onderwijsbehoeften	onderwijsbehoefte	behoefte		4724		
opleidingsbehoeften	opleidingsbehoefte	behoefte		4725		
parkeerbehoeften	parkeerbehoefte	behoefte		4726		
ruimtebehoeften	ruimtebehoefte	behoefte		4727		
slaapbehoeften	slaapbehoefte	behoefte		4728		
warmtebehoeften	warmtebehoefte	behoefte		4729		
waterbehoeften	waterbehoefte	behoefte		4730		
woningbehoeften	woningbehoefte	behoefte		4731		
zorgbehoeften	zorgbehoefte	behoefte		4732		
bijdrages	bijdrage	bijdrage		6826		
crowdfundingbijdrages	crowdfundingbijdrage	bijdrage		6827		
eu-bijdrages	eu-bijdrage	bijdrage		6828		
exploitatiebijdrages	exploitatiebijdrage	bijdrage		6829		
gastbijdrages	gastbijdrage	bijdrage		6830		
gespreksbijdrages	gespreksbijdrage	bijdrage		6831		
kinderopvangbijdrages	kinderopvangbijdrage	bijdrage		6832		
onderwijsbijdrages	onderwijsbijdrage	bijdrage		6833		
opleidingsfondsbijdrages	opleidingsfondsbijdrage	bijdrage		6834		
ouderbijdrages	ouderbijdrage	bijdrage		6835		
overheidsbijdrages	overheidsbijdrage	bijdrage		6836		
pensioenbijdrages	pensioenbijdrage	bijdrage		6837		
realitybijdrages	realitybijdrage	bijdrage		6838		
solidariteitsbijdrages	solidariteitsbijdrage	bijdrage		6839		
sponsorbijdrages	sponsorbijdrage	bijdrage		6840		
vereveningsbijdrages	vereveningsbijdrage	bijdrage		6841		
verwijderingsbijdrages	verwijderingsbijdrage	bijdrage		6842		
werkgeversbijdrages	werkgeversbijdrage	bijdrage		6843		
bewegingsdetectoren	bewegingsdetector	detector		13095		
detectoren	detector	detector		13096		
leugendetectoren	leugendetector	detector		13097		
ligo-detectoren	ligo-detector	detector		13098		
magneto-detectoren	magneto-detector	detector		13099		
metaaldetectoren	metaaldetector	detector		13100		
warmtedetectoren	warmtedetector	detector		13101		
zweetdetectoren	zweetdetector	detector		13102		
125cc-klassen	125cc-klasse	klasse		27801		
470-klassen	470-klasse	klasse		27802		
aandelenklassen	aandelenklasse	klasse		27803		
a-klassen	a-klasse	klasse		27804		
arbeidersklassen	arbeidersklasse	klasse		27805		
b-klassen	b-klasse	klasse		27806		
bovenklassen	bovenklasse	klasse		27807		
brandklassen	brandklasse	klasse		27808		
energieklassen	energieklasse	klasse		27809		
ereklassen	ereklasse	klasse		27810		
gewichtsklassen	gewichtsklasse	klasse		27811		
GT4-klassen	GT4-klasse	klasse		27812		
handicapklassen	handicapklasse	klasse		27813		
inkomensklassen	inkomensklasse	klasse		27814		
jaarklassen	jaarklasse	klasse		27815		
keepersklassen	keepersklasse	klasse		27816		
klassen	klasse	klasse		27817		
